No.;Описание;Описание 2
1826101270;хидроударник lh110kjh комплект;за jcb 1cx
1826101322;хидроударник lh110k fab пакет;FAB със запушени задни отвори
1826101431;хидроударник lh70-008 комплект;за kubota k-008
1826101432;хидроударник lh100 kj комплект;за jcb 1cx lifton version
1826101436;компактор hc 920 ac жълт;AC, комплект с крайни маркучи
1826101437;шнек машинен;AC,жълт re. 1801124
1826101444;Компактор НС 103-комплект;AC, комплект с крайни маркучи
1826101445;Компактор НС 308-комплект;AC, комплект с крайни маркучи
1826101446;Компактор НС409-комплект;AC, комплект с крайни маркучи
1826101447;Компактор НС2040-комплект;AC, комплект с крайни маркучи
1826101448;Компактор НС2041-комплект;AC, комплект с крайни маркучи
1826101507;комплектовка за монтаж lh500;lh500 - ub632 динас сливен
1826101508;хидр. чук  lh300 конфигурации;за lb пазари
1826101509;хидр. чук  lh300 конфигурации;за lb пазари
1826101510;хидр. чук  lh300 конфигурации;за lb пазари
1826101511;lh360k - hidromek hmk 101;за lb пазари - дир. монтаж
1826101514;хидр. чук  lh300-эо2626 русия;за lb пазари
1826101515;хидр. чук  lh1200 eo5124;цимент ад - зл. панега
1826101516;хидр. чук  lh300 - бх025;за lb пазари
1826101517;комплектовка за монтаж lh500;LH500-UB632 -Хидроекострой Б-с
1826101518;компл. за монтаж LH500-ЭО3322;ЕТ Екскаватор Б-с
1826101519;Комплектовка за монтаж lh300;lh300-JCB 3CX-Геотранс-Петрич
1826101520;комплектовка за монтаж;LH500-ЭО3322Б-Дунав-Русе
1826101521;комплектовка за монтаж;LH500-Warynski406
1826101522;комплектовка за монтаж lh500;LH500-FUCHS Водно ст.' Пз'
1826101523;Комплектовка за монтаж lh300;lh300 JCB 3CX Контурс Русия
1826101524;комплектовка за монтаж lh500;LH500 - EK14 контурс русия
1826101525;комплектовка за монтаж lh500;само окомплектовка-Дупница
1826101526;комплектовка за монтаж lh360;DRESSTA 9.5 ИЗОБОР'-Плевен'
1826101527;Комплектовка за монтаж lh300;lh300 -БХ025МТОТО-МОТО'Пд'
1826101528;Комплектовка за монтаж lh300;lh300-CATERPILLAR НИНА'ООД Пл'
1826101529;Комплектовка за монтаж lh300;Дизи ЕООД Петрич
1826101530;LH1200-ЭО4124-комплектовка;ф-ма Екометалинженеринг'-Сф'
1826101531;LH1200-CAT320B-комплектовка;ф. Кредо Г4'-ЕООД-Бургас'
1826101532;LH500-ZEPPELIN214комплектовка;ф.Кредо-Г4'-Бс'
1826101533;lh360-FERMEC970E-комплектовка;Строител' ООД-Русе'
1826101534;lh360kh - hidromek;пакет с окомплектовка
1826101535;LH360-ZEPPELIN15M-комплектовка;Строителна техника'-Манев-Рс'
1826101538;lh500-WARINSKI 611-комплектовк;СД  Гарант'-Враца'
1826101539;LH500-O_K MH-4 комплектовка за;ЕТНЕШ-И-Ивайло Нешев' Плевен'
1826101543;LH360-Hidromek HMK102S-комплек;АБГруп'-ООД-Русе'
1826101549;LH300-JCB 3CX-комплектовка;Мирса'-София'
1826101560;машинен шнек(турски)-комплекто;6101219 +инструмент
1826101561;LH360-JCB3CX-комплектовка;Булстон' ЕООД-гр.Ловеч'
1826101562;LH70 - Schaef - Комплектовка;Чрез Киров-В.търново
1826101564;lh70 kf комплект bobcat - бял;за монтаж с носач
1826101565;lh100 kf комплект bobcat - бял;за монтаж с носач
1826101566;lh200 kf комплект bobcat - бял;за монтаж с носач
1826101567;lh300 kf комплект bobcat - бял;за монтаж с носач
1826101568;LH500- Atlas  -комплектовка;Екометал-инженеринг,София
1826101570;LH300-ЭО 2621А комплектовка;Пътинженеринг М'-Гр.Монтана'
1826101574;LH360-Komatsu;Бетонекс' СД -Плевен'
1826101575;LH300-ЭО 2621В-комплектовка;АЕЦ Козлодуй''
1826101576;LH1200-O_K;Созопол
1826101577;LH360-Fermec 980 комплектовка;Валли-10 Разград
1826101578;LH300-БХ 0.25/0.3-комплектовка;В и К -гр. Благоевград
1826101579;LH200-ЭО2621А- комлектовка;Троян
1826101580;LH300-New Holland-комплектовка;ЕМУ' - гр.Търговище'
1826101584;lh300кj комплект с инструмент;за JCB 3CX - директен монтаж
1826101585;lh70 kf комплект RAL 7024 сив;closed side plates LHB 110 J
1826101586;lh100 kf комплект RAL 7024 сив;closed side plates LHB 200 J
1826101587;lh200 kf комплект RAL 7024 сив;closed side plates LHB 400 J
1826101588;lh300 kf комплект RAL 7024 сив;closed side plates LHB 520 J
1826101593;lh70 kf комплект HS-B оранж;closed side plates HSB 100
1826101594;lh100 kf комплект HS-B оранж;closed side plates HSB 150
1826101595;lh200 kf комплект HS-B оранж;closed side plates HSB 220
1826101596;lh300 kf комплект HS-B оранж;closed side plates HSB 340
1826101597;lh70 kf компл. RAL 6012 зелен;closed side plates BCP Gr. 100
1826101598;lh100 kf компл. RAL 6012 зелен;closed side plates BCP Gr. 150
1826101599;lh200 kf компл. RAL 6012 зелен;closed side plates BCP Gr. 220
1826101600;lh300 kf компл. RAL 6012 зелен;closed side plates BCP Gr. 340
1826101614;lh70kf комплект HH1 China син;closed sideplates LHB110 China
1826101615;lh100kf комплект HH3 China син;closed sideplates LHB200 China
1826101616;lh200kf комплект HH5 China син;closed sideplates LHB400 China
1826101617;lh300kf комплект HH7 China син;closed sideplates LHB520 China
1826101618;LH300-JCB3CX-дир.монт.;Еврогранд ООД-Смолян
1826101627;lh360-jcb4cx дир.монт.;
1826101628;LH360-Terex 980-комплектовка;Ф-ма Строител'-Русе'
1826101629;LH300-New Holland-комплектовка;A Co-Бургас
1826101630;lh70 kf комплект GP 9 черен;closed side plates GP 9
1826101631;lh100 kf комплект GP 15 черен;closed side plates GP 15
1826101632;lh200 kf комплект GP 25 черен;closed side plates GP 25
1826101633;lh300 kf комплект GP 35 черен;closed side plates GP 35
1826101634;Компактор НС 103 S;AC, комплект с крайни маркучи
1826101635;Компактор НС 308 S-комплект;AC, комплект с крайни маркучи
1826101636;Компактор НС409 S-комплект;AC, комплект с крайни маркучи
1826101637;компактор hc 920 S ac жълт;AC, комплект с крайни маркучи
1826101638;Компактор НС2040 S-комплект;AC, комплект с крайни маркучи
1826101639;Компактор НС2041 M-комплект;AC, комплект с крайни маркучи
1826101640;lh70 khbpf комплект HSB оранж;closed side plates HSB 100 HBP
1826101641;lh100 khbpf комплект HSB оранж;closed side plates HSB 150 HBP
1826101642;lh200 khbpf комплект HSB оранж;closed side plates HSB 220 HBP
1826101643;lh300 khbpf комплект HSB оранж;closed side plates HSB 340 HBP
1826101644;ротатор R 10 B-1 комплект;опция за компактори HC308-920S
1826101645;ротатор R 15 B -1 комплект;опция за компактори 2040-2041
1826101646;lh200kj-комплект;За JCB2CX-дир.монт.
1826101647;lh 65 комплект HS-B оранж;closed side plates HS-B 65
1826101648;lh 90 комплект HS-B оранж;closed side plates HS-B 90
1826101649;lh 120 комплект HS-B оранж;closed side plates HS-B 140
1826101651;lh100 khbpf комплект LHB сив;closed side plates LHB200J HBP
1826101652;lh200 khbpf комплект LHB сив;closed side plates LHB400J HBP
1826101653;lh300 khbpf комплект LHB сив;closed side plates LHB520J HBP
1826101655;lh100 khbpf к-т RAL 6012 зелен;closed side plates BCP Gr. 150
1826101656;lh200 khbpf к-т RAL 6012 зелен;closed side plates BCP Gr. 220
1826101657;lh300 khbpf к-т RAL 6012 зелен;closed side plates BCP Gr. 340
1826101660;lh 65 комплект RAL 7024 сив;closed side plates LHB 65
1826101661;lh 90 комплект RAL 7024 сив;AC, closed side plates LHB 90
1826101662;lh 120 комплект RAL 7024 сив;closed side plates LHB 140
1826101677;lh 65 комплект Lifton жълт;closed side plates LH 65
1826101678;lh 90 комплект Lifton жълт;closed side plates LH 90
1826101679;lh 120 комплект Lifton жълт;closed side plates LH 120
1826101714;комплект монтажен RSC-SBC/SB;QC27 quick coupler
1826101717;LH120 пакет специален RAL9005;LHB 140-70 ramming assy
1826101746;Компактор HC 150;AC, комплект с крайни маркучи
1826101747;Компактор НС 350;AC, комплект с крайни маркучи
1826101748;Компактор НС450;AC, комплект с крайни маркучи
1826101749;компактор hc 850;AC, комплект с крайни маркучи
1826101750;компактор hc 1050;AC, комплект с крайни маркучи
1826101751;компактор hc 1055;AC, комплект с крайни маркучи
1826101752;Компактор RС103;CP, без хидр. блок
1826101753;Компактор RС308;CP, без хидр. блок
1826101754;Компактор RС409;CP, без хидр. блок
1826101755;компактор RC920;CP, без хидр. блок
1826101756;Компактор RС2040;CP, без хидр. блок
1826101757;Компактор RС2041;CP, без хидр. блок
1826101758;компактор hc 850 w.adapter plt;AC, Astra SS UK,Soosan SB50-81
1826101761;грайфер MG 100 multi grapple;AC, Hydraulic Grapple 100
1826101762;грайфер MG 200 multi grapple;AC, Hydraulic Grapple 200
1826101763;грайфер MG 300 multi grapple;AC, Hydraulic Grapple 300
1826101764;грайфер MG 400 multi grapple;AC, Hydraulic Grapple 400
1826101765;грайфер MG 500 multi grapple;AC, Hydraulic Grapple 500
1826101766;грайфер MG 800 multi grapple;AC, Hydraulic Grapple 800
1826101767;грайфер MG 1000 multi grapple;AC, Hydraulic Grapple 1000
1826101768;грайфер MG 1500 multi grapple;AC, Hydraulic Grapple 1500
1826101769;грайфер MG 1800 multi grapple;AC, Hydraulic Grapple 1800
1826101770;грайфер MG 2300 multi grapple;AC, Hydraulic Grapple 2300
1826101771;грайфер MG 2700 multi grapple;AC, Hydraulic Grapple 2700
1826101772;грайфер MG 5000 multi grapple;AC, Hydraulic Grapple 5000
1826101774;щипкa CB350 Concrete Buster;AC, RM Hydraulic Attachment
1826101775;щипка CB 750 Concrete Buster;AC, RM Hydraulic Attachment
1826101776;щипка CB 950 Concrete Buster;AC, RM Hydraulic Attachment
1826101795;Компактор HC/RC350;MB, двуамплитуден
1826101796;Компактор HC/RC450;MB, двуамплитуден
1826101797;Компактор HC/RC850;MB, двуамплитуден
1826101798;Компактор HC/RC1050;MB, двуамплитуден
1826101807;Компактор RC150 complete;unisex плюс стикери комплект
1826101808;Компактор RC350 complete;unisex плюс стикери комплект
1826101809;Компактор RC450 complete;unisex плюс стикери комплект
1826101810;Компактор RC850 complete;unisex плюс стикери комплект
1826101811;Компактор RC1050 complete;unisex плюс стикери комплект
1826101812;Компактор RC1055 complete;unisex плюс стикери комплект
1826101813;Компактор HC/RC150;MB, без стикери
1826101814;Компактор HC/RC350;MB, без стикери
1826101815;Компактор HC/RC450;MB, без стикери
1826101816;Компактор HC/RC850;MB, без стикери
1826101817;Компактор HC/RC1050;MB, без стикери
1826101818;Компактор HC/RC1055;MB, без стикери
1826101819;Компактор HC/RC350 с ротатор;MB, без стикери
1826101820;Компактор HC/RC450 с ротатор;MB, без стикери
1826101821;Компактор HC/RC850 с ротатор;MB, без стикери
1826101822;Компактор HC/RC1050 с ротатор;MB, без стикери
1826101823;ротатор RX 11 - 1A комплект;опция-компактори HC/RC 350-850
1826101824;ротатор RX 16 - 1A комплект;опция за компактор HC/RC 1050
1826101825;Компактор HC350 с ротатор;AC, комплект
1826101826;Компактор HC450 с ротатор;AC, комплект
1826101827;Компактор HC850 с ротатор;AC, комплект
1826101828;Компактор HC1050 с ротатор;AC, комплект
1826101829;к-т ротатор HC/RC 350;хидр. маркучи фитинги ротатор
1826101830;к-т ротатор HC/RC 450;хидр. маркучи фитинги ротатор
1826101831;к-т ротатор HC/RC 850;хидр. маркучи фитинги ротатор
1826101832;к-т ротатор HC/RC 1050;хидр. маркучи фитинги ротатор
1826101833;к-т заключващ клапан MG200;lock valve kit MG200
1826101834;;
1826110102;механизъм ударен специален;за lh50
1826110108;механизъм ударен специален;без пр.тяло,вкл.шпилки
1826117084;lh110 пакет специален;без пр.тяло, вкл.шпилки
1826117086;lh110 пакет специален FAB;free air blows - без задни отв
1826117087;lh110 пакет специален HF;morath версия със скъсен ход
1826117089;lh100k пакет FAB с предно тяло;f. RU 100/1600 Ramming Unit
1826117272;lh100 пакет специален FAB;free air blows - без задни отв
1826117275;lh100 пакет специален;без пр.тяло, вкл.шпилки
1826117276;lh100 пакет специален HF;morath версия със скъсен ход
1826128143;м-м ударен-без пр.т.вкл.шпилки;lh170 w/o nose part + s.b.
1826128147;м-м ударен-без пр.т.вкл.шпилки;за празни удари - fab version
1826140149;lh200 пакет специален FAB;free air blows - без задни отв
1826145079;механизъм ударен;
1826145206;lh300 пакет специален FAB;free air blows - без задни отв
2908004800;BEARING HEAT;AIF
2916145211;LABEL ZT/ZR;AIF
3000582502;ADAPTER BBD;P/O PNEUMATIC ROCK DRILLS!?
3083303300;лопата крива - за глина 5;hex 25x108
3083306900;асфалтово длето 5 in.;hex 22x82,5
3083311000;шило tex 250 h;ф80х800
3083311001;шило дълго tex 250 h;ф80х1000
3083311005;шило свръх дълго tex 250 h;ф80х1400
3083311100;длето tex 250 h;ф80х800
3083311400;инструмент цил. ф100 tex 250 h;ф100/80х830
3083316100;длето sb 200;ф65х600
3083316200;шило sb 200;ф65х600
3083316201;шило дълго sb 200;ф65х900
3083316900;шило sb 150;ф50х510
3083316901;шило дълго sb 150;ф50х750
3083317000;длето sb 150;ф50х510
3083318200;инструмент цилиндр. ф55 sb 150;ф55/50х570
3083318900;инструмент цилиндр. ф90 sb 200;ф90/65х700
3083319100;шило sb 300;ф80х800
3083319101;шило дълго sb 300;ф80х1000
3083319200;длето sb 300;ф80х800
3083319201;длето дълго sb 300;ф80х1000
3083319500;инструмент цилиндричен sb 300;ф80х800
3083319505;инструмент цилиндр.ф105 sb 300;ф105/80х750
3083320500;шило 380 mm;hex 32x160
3083320800;длето 380 mm;hex 32x160
3083321200;асфалтово длето 4 1/2 in.;hex 32x160
3083321801;накрайник за трамбовка 235 mm;hex 32x160
3083322800;шило 350 mm;hex 22x108
3083323900;основа за трамбовка 175х175;hex 22/25
3083324200;шило 380 mm;hex 22x82,5
3083324400;длето 380 mm;hex 22x82,5
3083324600;асфалтово длето 3 in.;hex 22x82,5
3083325100;накрайник за трамбовка 310 mm;hex 22x82,5
3083325200;основа за трамбовка ф125;hex 25x108
3083325210;основа за трамбовка ф125;hex 22x82,5
3083325400;длето 380 mm;hex 25x108
3083325500;асфалтово длето 3;hex 25x108
3083325900;накрайник за трамбовка 230 mm;hex 25x108
3083326900;накрайник за трамбовка 230 mm;hex 28x152
3083328301;накрайник за трамбовка 230 mm;hex 28x160
3083328700;накрайник за трамбовка 230 mm;hex 32x152
3083330100;основа за трамбовка ф180 mm;hex 28/32
3083330200;основа за трамбовка 150x150 mm;hex 28x152
3083341100;инструмент цилиндричен sb 200;ф65х600
3083341200;шило jcb hm 165;ф50х510
3083341300;длето jcb hm 165;ф50х510
3083341600;шило jcb hm 265;ф65х600
3083341700;длето jcb hm 265;ф65х600
3083342000;шило hm 365;ф80х800
3083342100;длето hm 365;ф80х800
3083342200;инструмент цилиндричен hm 365;ф80х800
3083401510;MOIL POINT;from PTD
3121500063;Бутало;заготовка Ф50х330
3121500064;Цилиндър;заготовка Ф120х190
3121545508;SHIM;
3137148405;Locking clip;5mm, Type A
3176142600;адаптор 14-14 90°;sae orb m - jic m sw
3176542900;тапа UNF 9/16-18;AJ06 (UNF 9/16-18) hansa flex
3176630100;щуцер краен sae orb 12  jic 12;Hansa Flex GE O 12 HJ
3176635200;коляно ориент.крайно90гр.;G3/8 WD-UNF9/16-18 JIC
3176649600;щуцер за прегр 9/16-18 UNF-JIC;SV HJ 06 hansa flex
3176651300;Щуцер;3/4-G1/2
3176651500;фитинг 1/2 bsp - 7/8 unf jic;DUNLOP HIFLEX REF.  9460101008
3176653000;щуцер 9/16 - 9/16-18 UNF-JIC;GE O 06 HJ hansa flex
3176653400;щуцер краен 12-10 saeo - jicm;Hansa Flex GE O 12 HJ 10
3176653700;Щуцер 1-5/16 UNF-12;Parker 16 F5OX
3176653900;щуцер краен 12-12 nptm - jicm;Hansa Flex GE HN 12 HJ
3176655300;коляно ориентируемо12-06 45deg;W45 HRO K 06 HJ08
3176657100;коляно90 saeorb m jic m Dunlop;C50XS18/20-1.1/16Or23.47x2.95
3176864000;SPRING;
3216673800;скоба метална к-т;NORFLEX W2 92-97x24x1.2, M8
3217903809;o-пръстен ф25,12x1,78;90 shore nbr
3310114012;CARDBOARD 455 x 130 x 350+;CARTON USED W. BOX 3310120600
3310117500;SCREW;MJ20x100 mm
3310120600;кутия за складиране;
3310143100;маншон;pick hammer, TEX05
3310143900;капачка;pick hammer, TEX05
3310144000;буфер;pick hammer, TEX05
3310145100;пръстен преден;pick hammer, TEX05
3310146100;BUFFER;from PTD
3310154500;гривна пружинна;pick hammer, TEX05
3310159700;втулка;pick hammer, TEX05
3312223400;Куплунг мъжки 3P+N+E CEE416-6;Plug Connector16A 5P 6H 400V
3312505456;RUBBER PAD;240X130X5 MM NBR 55-60 SHORE A
3312505458;RUBBER PAD;230X100X5 MM NBR 55-60 SHORE A
3312505459;RUBBER PAD;130X22X5 MM NBR 55-60 SHORE A
3312505460;RUBBER PAD;230X17X5 MM NBR 55-60 SHORE A
3312505464;RUBBER PAD;90X80X5 MM NBR 55-60 SHORE A
3312505686;SPIDER;LP6500E BY AC CHINA, PP
3312509112;DISC;ORKA 350C DRY CONCRETE
3312509113;DISC;ORKA 450C DRY CONCRETE
3312509115;DISC;ORKA 450F WET CONCRETE
3312509116;DISC;ORKA 350A ASPHALT
3312509117;DISC;ORKA 450A ASPHALT
3315019502;шайба NORD-LOCK M6;NORD-LOCK M6 Re. 4700186039
3315019504;шайба законтряща м8 к-т;8,7X13,5X2,5 NORD LOCK
3315019508;шайба законтряща M12;13X19,5X2,5 NORD LOCK
3315019510;шайба законтряща m16 к-т;nord lock ref No3361333703
3315019512;шайба законтряща m20 к-т;nord lock
3315019514;шайба законтряща м24 к-т;nord lock
3315047800;клапан предпазно-преливен;Bosch p/n 0 532 001 009
3315168600;Плоча основна SBC 115;
3315203900;Плоча основна SBC 650;
3315211800;Плоча основна SBC 850;
3315218500;Носач SBC850-JCB3CX,4C,CN;
3315218502;Ухо;3315 2185 00 поз.2
3315218503;Ребро;3115.2185.00 поз.3
3315218504;Втулка ф42хф75х32 (с отв.ф13);3315 2185 00 поз.4
3315218505;Втулка ф42хф75х32;3315 2185 00 поз.5
3315218506;Втулка ф42хф75х15;3315 2185 00 поз.6
3315222600;Носач SBC 650 JCB3CX,4CX, 80хх;
3315222602;Ухо;3115.2226.00 поз.2
3315222605;Втулка ф42хф75х26.5;3315 2226 00 поз.5
3315222606;Втулка ф42хф75х26,5 с отв. ф13;3315 2226 00 поз.6
3315224200;Носач SBC 650 - JCB3CX,4CX;
3315224202;Ухо;3115.2242.00 поз.2
3315224203;Ребро;3115.2242.00 поз.3
3315224204;Втулка ф85х32;поз.4 от 3315 2242 00
3315224205;Втулка ф85х26,5;поз.5 от 3315 2242 00
3315224206;Втулка с отвор ф85х26,5;поз.6 от 3315 2242 00
3315225600;DECAL;
3315226300;стикер AC лого L=160;Atlas Copco лого L=160 черен Re. 3382010060
3315244300;плоча основна sbc 410-II;360х360x25
3315248600;плоча основна sbc 255-II;черт. 3315.2486.00
3315294220;стикер;Atlas Copco лого L=120 черно
3315295100;Плоча основна SB 200;Sparky
3315298800;Носач SBC 410-II JCB 2CX;3315 2988 00
3315298802;Ухо;поз.2 от 3315 2988 00
3315298803;Ребро;поз.3 от 3315 2988 00
3315298804;Втулка ф60х30;поз.4 от 3315 2988 00
3315298805;Планка усилваща;поз.5 3315 2988 00
3315298806;Втулка ф60х6;поз.6 от 3315 2988 00
3315304300;плоча основна sb 150;
3315307700;плоча основна sb 550;
3315309200;2,29 m маркуч 3/4 in.;JIC 1-1/16 SF ORFS 1-3/16 SF
3315309290;2,29 m маркуч 3/4 in. комплект;SB 300/450
3315309300;2,29 m маркуч двоен 1/2 in.;JIC 7/8 SF ORFS 13/16 SF
3315309390;2,29 m маркуч 1/2 in. комплект;SB 150/200/410
3315309600;бързосменникM 1-1/16 UN DN 16;Stuc 805204007 M.APM 15 3/4SAE
3315309700;бързосменникF 1-1/16 UN DN 16;Stucchi801304012 F.A15 3/4SAE
3315310500;Носач за SB450 (JD310E/C 580L);3315_3105_00
3315310502;Ухо;(3315_3105_00 поз.2)
3315310503;Ребро;(3315_3105_00 поз.3)
3315310504;Шайба  ф80х12.5;(3315_3105_00 поз.4)
3315310505;Шайба ф68х12.5;(3315_3105_00 поз.5)
3315310600;шайба дистанционна sb 450;ф80-ф39,8-24
3315310700;шайба дистанционна sb 450;ф80-ф45-24
3315310800;шайба дистанционна sb 450;ф80-ф39,8-61,6
3315310900;ос монтажна ф44,4х394;
3315311000;ос монтажна ф38,1х386;
3315311800;Носач за SB 450 (C 580 K-L);3315_3118_00
3315311802;Ухо задно;3315_3118_00 поз.2
3315311803;Ухо предно;3315_3118_00 поз.3
3315311804;Ребро тясно;3315_3118_00 поз.4
3315311805;Ребро;3315_3118_00 поз.5
3315311806;Шайба ф90х12.5;3315_3118_00 поз.6
3315314500;носач КМ150-КХ61-2,-3;3315_3145_00
3315314502;Ухо;от 3145 поз.2
3315314503;Ухо с отвори ф22;от 3145 поз.3
3315314505;Ребро 8х70х160;3145 поз.5
3315314506;Втулка ф65х25;3145 поз.6
3315314600;Носач за KM200 (SBC410)-KUBOTA;за KUBOTA KX 61-2, 61-3
3315314602;Ухо;
3315314603;Ухо с отвори ф22;
3315315400;Носач КМ300-KUBOTA KX251;
3315315402;Ухо;
3315315403;Ребро 10x110x273;
3315315404;Втулка ф120х45;
3315315405;Фиксатор ф25х35;
3315315406;Ухо с отвори;
3315315500;Носач КМ450-KUBOTA KX251;
3315315502;Ухо;
3315315503;Ребро 10x110x263;
3315315504;Втулка ф120х40;
3315315505;Фиксатор ф25х39;
3315315506;Ухо;
3315315600;носач КМ150-КХ71;SBC 255
3315315602;ухо - kubota kx71;313х185х10 Re.3315315600 Pos.2
3315315603;Фиксатор;ф35х34
3315315604;шайба дистанционна;ф60х8
3315315605;втулка;ф80х19
3315315606;ребро - kubota kx71;172x80x8 Re. 3315315600 Pos.6
3315315607;ухо с отвори ф20 - kubota kx71;313х185х10 Re.3315315600
3315315800;носач sbc410-kubota kx71;adapter plate Re. 3315 3158 00
3315315802;ухо - kubota kx71;330х185х12 Re.3315315800 Pos.2
3315315803;Фиксатор ф20х33 - kubota kx71;ф20х33 Re. 3315315800 Pos.3
3315315804;ребро - kubota kx71;184x80x6 Re. 3315315800 Pos.4
3315315805;втулка усилваща - kubota kx71;ф80х25 Re. 3315315800 Pos.5
3315315806;Ухо;от 3158 ,нова позиция
3315317800;носач KM 200 - KX 91/101 U35;adapter plate Re. 3315 3178 00
3315317802;ребро 178х80х6;3115.3178.00 поз.2
3315317803;шайба  ф90х22;3315_3178_00 поз.3
3315317804;Ухо;3315_3178_00 поз.4/5
3315317805;Ухо;от 3178 поз.5
3315317900;носач KM 300 - KX 161-3;adapter plate for SBC 650
3315317902;ребро - kubota kx161;221x105x8 Re. 3315317900 Pos.2
3315317903;Втулка;ф42хф100х38
3315317904;Ухо 15х210х430;3315_3179_00 поз.4
3315317905;Ухо 15х210х430;3315_3179_00 поз.5
3315318500;носач KM 200 - KX 121-3;adapter plate Re. 3315 3185 00
3315318504;ухо;3315_3185_00 поз.4/5
3315318505;Ухо;от 3185 поз.5
3315318800;носач KM 200 - KX 161-3;adapter plate for SBC 410
3315318802;ребро - kubota kx161;227x105x8 Re. 3315318800 Pos.2
3315318803;Втулка;ф42хф100х41
3315318804;Ухо;
3315318805;Ухо с отвори;
3315318806;фиксатор ф20х31;3315.3188.00 поз.6
3315318900;носач КМ150 КХ121-3;SBC 255
3315318904;Ухо;
3315318905;Ухо с отвори;
3315319000;носач КМ150 КХ91-3, 101-3, U35;SBC 255
3315319004;Ухо;
3315319005;Ухо с отвори;
3315319200;Носач КМ100-KUBOTA K008;3315_3192_00
3315319202;Ухо;от 3192 поз.2
3315319203;ребро - kubota k008;
3315319204;Втулка ф34х20;
3315319300;Носач за KM100 (SBC115)-KH31;3315_3193_00
3315319302;Ухо;3315.3193.00 поз.2
3315319303;Втулка ф22хф56х22;3315.3193.00 поз.3
3315319304;Ребро 10х26х87;3315.3193.00 поз.4
3315319305;фиксатор ф20х34;3315.3193.00 поз.5
3315319306;Ухо;3315.3193.00 поз.6
3315319600;носач КМ150 - КХ 41;
3315319602;Втулка ф22хф45х22;
3315319603;Ухо;
3315319604;Ухо;
3315319605;Ребро 6х70х139,5;
3315319700;Носач за KM300 (SBC650)-KUBOTA;за KUBOTA U45-3
3315319702;ребро - kubota u45-3;221x125x8 Re. 3315319700 Pos.2
3315319704;Ухо;
3315319705;Ухо с отвори;
3315319800;Носач за KM200 (SBC410)-KUBOTA;за KUBOTA U45-3
3315319804;Ухо;
3315319805;Ухо с отвори;
3315319900;Носач SBC 255 JCB 802/803/804;
3315319902;Ухо;3315.3199.00 поз.2
3315319903;ребро 170х70х6;3315_3199_00 поз. 3
3315319904;Втулка ф32хф60х47;3315 23199 00 поз.4
3315319905;фиксатор ф30/ф20х43,75;3315_3199_00 поз. 5
3315319906;Ухо с отвори ф20;3315.3199.00 поз.6
3315321100;носач KM 150 - U20-3/U25-3;adapter plate Re. 3315 3211 00
3315321102;ухо;3315_3211_00 поз.2
3315321103;ухо с отвори;от 3211 поз.3
3315321104;фиксатор ф22х34;3315_3211_00 поз. 4
3315321105;ребро 154х70х8;3315_3211_00 поз. 5
3315321106;шайба ф65х22;3315_3211_00 поз. 6
3315321200;носач KM 100 - U20-3/U25-3;adapter plate Re. 3315 3212 00
3315321202;ухо;3315_3212_00 поз.2
3315321203;ухо с отвори;от 3212 поз.3
3315321207;шайба ф60х22;
3315322600;Плоча основна SB 100 MK2;Sparky
3315322900;Носач за KM100 (SBC115)-KUBOTA;3315.3229.00
3315322902;ухо;3315_3229_00 поз.2
3315322903;Втулка ф27хф60х26;3315.3229.00 поз.3
3315322904;Ребро 10х44х73;
3315322906;ухо с отвори;3315_3229_00 поз.2
3315323000;носач KM 300 - KX 121-3;adapter plate for SBC 650
3315323003;шайба  ф90х19;3315_3230_00 поз.3
3315323004;ухо;
3315323005;Ухо с отвори;
3315323006;фиксатор ф20х36;3315.3230.00 поз.6
3315323100;бързосменник 3/8 M-ISO 16028;Stucchi801300005 M.A9 3/8 BSP
3315323200;бързосменник 3/8 F ISO16028;Stucchi801300006 F.A9 3/8 BSP
3315323300;бързосменник 1/2 M -ISO 16028;Stucchi801300013 M.A13 1/2BSP
3315323400;бързосменник 1/2 F-ISO 16028;Stucchi801300014 F.A13 1/2BSP
3315323500;бързосменник 3/4 M-ISO 16028;Stucchi801300021 M.A15 3/4BSP
3315323600;бързосменник 3/4 F-ISO 16028;Stucchi801300022 F.A15 3/4BSP
3315324090;окомплектовка KM 100;
3315324100;маркуч 3/8 L=1150mm;3/8 BSP M-13/16 ORFS SF 45deg
3315324400;капа бързосменна 3/8 M;Stucchi M D-9C = 3371805728
3315324500;капа бързосменна 3/8 F;Stucchi F P-9D = 3371805733
3315324600;капа бързосменна 1/2 M;Stucchi M D-13D
3315324700;капа бързосменна 1/2 F;Stucchi F P-13D
3315324800;капа бързосменна 3/4 M;Stucchi M D-15F
3315324900;капа бързосменна 3/4 F;Stucchi F P-15F
3315325300;маркуч 1/2 L=980 mm;3/8 BSP M - 13/16 ORFS SF
3315325400;носач КМ100 КХ41-3;SBC 115
3315325402;Ухо;3315_3254_00 поз.2
3315325403;Втулка ф27хф56х22;3315.3254.00 поз.3
3315325406;Ухо;3315_3254_00 поз.6
3315325890;окомплектовка KM155;Reopened as KM155 (Was KM150)
3315326100;маркуч 1/2 L=1250 mm;1/2 BSP M - 13/16 ORFS SF
3315326290;окомплектовка KM 200;
3315326500;маркуч 1/2 L=650 mm;DKOL 15 SF - DKOL 15 SF
